,Instrument,Date start,Amount investment,Starting Price,Investment purchase,Date end,Final Price,Return of investment,Profit investment,Period investment,%Profit
0,Gold,2018-05-15,10000,1290,7.751337105650725,2023-05-11,2020.5,15661,5661,-1822 days,56
1,Nasdaq100,2018-05-15,10000,6895,1.4502211587267058,2023-05-11,13446.0,19499,9499,-1822 days,94
2,DAX,2018-05-15,10000,12952,0.7720815318097591,2023-05-11,15992.0,12347,2347,-1822 days,23
3,Euro Bund,2018-05-15,10000,158,63.23910706380826,2023-05-11,135.95,8597,-1403,-1822 days,-14
4,S&P500,2018-05-15,10000,2711,3.6883356385431076,2023-05-11,4144.5,15286,5286,-1822 days,52
