,Instrument,Date start,Amount investment,Starting Price,Investment purchase,Date end,Final Price,Return of investment,Profit investment,Period investment,%Profit
0,Gold,2022-05-11,10000,1852,5.398693516169087,2023-05-11,2020.5,10908,908,-365 days,9
1,Nasdaq100,2022-05-11,10000,12004,0.8330209504769045,2023-05-11,13446.0,11200,1200,-365 days,12
2,DAX,2022-05-11,10000,13585,0.736105999263894,2023-05-11,15992.0,11771,1771,-365 days,17
3,Euro Bund,2022-05-11,10000,152,65.51362683438155,2023-05-11,135.95,8906,-1094,-365 days,-10
4,S&P500,2022-05-11,10000,3939,2.5382321213274954,2023-05-11,4144.5,10519,519,-365 days,5
