,Instrument,Date start,Amount investment,Starting Price,Investment purchase,Date end,Final Price,Return of investment,Profit investment,Period investment,%Profit
0,Gold,2013-05-15,2000,1392,1.436265709156194,2023-05-11,2020.5,2901,901,-3648 days,45
1,Nasdaq100,2013-05-15,2000,3004,0.665723558292419,2023-05-11,13446.0,8951,6951,-3648 days,347
2,DAX,2013-05-15,2000,8347,0.23960704444710673,2023-05-11,15992.0,3831,1831,-3648 days,91
3,Euro Bund,2013-05-15,2000,144,13.837957517470421,2023-05-11,135.95,1881,-119,-3648 days,-5
4,S&P500,2013-05-15,2000,1655,1.2082766953632382,2023-05-11,4144.5,5007,3007,-3648 days,150
