,Instrument,Date start,Amount investment,Starting Price,Investment purchase,Date end,Final Price,Return of investment,Profit investment,Period investment,%Profit
0,Gold,2022-05-11,2000,1852,1.0797387032338175,2023-05-11,2020.5,2181,181,-365 days,9
1,Nasdaq100,2022-05-11,2000,12004,0.1666041900953809,2023-05-11,13446.0,2240,240,-365 days,12
2,DAX,2022-05-11,2000,13585,0.1472211998527788,2023-05-11,15992.0,2354,354,-365 days,17
3,Euro Bund,2022-05-11,2000,152,13.102725366876312,2023-05-11,135.95,1781,-219,-365 days,-10
4,S&P500,2022-05-11,2000,3939,0.5076464242654991,2023-05-11,4144.5,2103,103,-365 days,5
