,Instrument,Date start,Amount investment,Starting Price,Investment purchase,Date end,Final Price,Return of investment,Profit investment,Period investment,%Profit
0,Gold,2018-05-15,2000,1290,1.550267421130145,2023-05-11,2020.5,3132,1132,-1822 days,56
1,Nasdaq100,2018-05-15,2000,6895,0.29004423174534116,2023-05-11,13446.0,3899,1899,-1822 days,94
2,DAX,2018-05-15,2000,12952,0.15441630636195183,2023-05-11,15992.0,2469,469,-1822 days,23
3,Euro Bund,2018-05-15,2000,158,12.647821412761653,2023-05-11,135.95,1719,-281,-1822 days,-14
4,S&P500,2018-05-15,2000,2711,0.7376671277086215,2023-05-11,4144.5,3057,1057,-1822 days,52
