2013-14-07 22:00:00;126'050;126'195;125'260;126'195
2013-15-07 22:00:00;126'190;126'265;126'140;126'190
2013-16-07 22:00:00;126'185;127'100;126'110;127'015
2013-17-07 22:00:00;126'315;127'090;126'195;126'250
2013-18-07 22:00:00;126'250;127'050;126'225;127'030
2013-21-07 22:00:00;127'025;127'100;127'020;127'060
2013-22-07 22:00:00;127'065;127'070;126'250;127'015
2013-23-07 22:00:00;127'010;127'015;126'035;126'130
2013-24-07 22:00:00;126'140;126'215;126'030;126'200
2013-25-07 22:00:00;126'190;126'260;126'145;126'205
2013-28-07 22:00:00;126'210;126'260;126'120;126'135
2013-29-07 22:00:00;126'140;126'210;126'115;126'115
2013-30-07 22:00:00;126'130;126'200;125'195;126'170
2013-31-07 22:00:00;126'160;126'175;125'115;125'150
2013-01-08 22:00:00;125'160;126'200;125'050;126'195
2013-04-08 22:00:00;126'180;126'205;126'055;126'120
2013-05-08 22:00:00;126'120;126'155;126'060;126'105
2013-06-08 22:00:00;126'115;126'240;126'105;126'210
2013-07-08 22:00:00;126'205;126'290;126'185;126'250
2013-08-08 22:00:00;126'240;126'280;126'205;126'265
2013-11-08 22:00:00;126'255;126'315;126'155;126'160
2013-12-08 22:00:00;126'165;126'165;125'185;125'205
2013-13-08 22:00:00;125'215;125'290;125'180;125'235
2013-14-08 22:00:00;125'255;125'280;124'260;125'125
2013-15-08 22:00:00;125'135;125'150;124'210;125'000
2013-18-08 22:00:00;125'005;125'005;124'155;124'200
2013-19-08 22:00:00;124'210;125'090;124'210;125'055
2013-20-08 22:00:00;125'050;125'075;124'125;124'135
2013-21-08 22:00:00;124'150;124'180;124'025;124'115
2013-22-08 22:00:00;124'125;125'015;124'000;124'300
2013-25-08 22:00:00;124'300;125'085;124'255;125'070
2013-26-08 22:00:00;125'050;125'280;125'010;125'260
2013-27-08 22:00:00;125'240;125'270;125'045;125'125
2013-28-08 22:00:00;125'120;125'180;124'270;125'120
2013-29-08 22:00:00;124'095;124'150;123'315;123'315
2013-01-09 22:00:00;123'250;123'270;123'145;123'170
2013-02-09 22:00:00;123'175;123'250;122'315;123'155
2013-03-09 22:00:00;123'170;123'190;123'005;123'025
2013-04-09 22:00:00;123'030;123'050;122'085;122'090
2013-05-09 22:00:00;122'095;123'205;122'070;123'000
2013-08-09 22:00:00;122'315;123'160;122'280;123'065
2013-09-09 22:00:00;123'060;123'075;122'250;122'280
2013-10-09 22:00:00;122'270;123'150;122'255;123'130
2013-11-09 22:00:00;123'125;123'265;123'105;123'120
2013-12-09 22:00:00;123'120;123'220;122'300;123'200
2013-15-09 22:00:00;124'065;124'250;123'300;124'020
2013-16-09 22:00:00;124'010;124'115;123'315;124'045
2013-17-09 22:00:00;124'050;125'290;123'235;125'230
2013-18-09 22:00:00;125'220;125'310;125'045;125'050
2013-19-09 22:00:00;125'045;125'140;124'295;125'090
2013-22-09 22:00:00;125'085;125'195;125'025;125'175
2013-23-09 22:00:00;125'170;126'015;125'160;125'280
2013-24-09 22:00:00;125'275;126'100;125'255;126'055
2013-25-09 22:00:00;126'045;126'080;125'295;126'010
2013-26-09 22:00:00;126'005;126'155;125'290;126'095
2013-29-09 22:00:00;126'175;126'215;126'030;126'140
2013-30-09 22:00:00;126'135;126'140;126'000;126'015
2013-01-10 22:00:00;126'005;126'210;125'305;126'140
2013-02-10 22:00:00;126'140;126'275;126'050;126'200
2013-03-10 22:00:00;126'190;126'205;126'040;126'055
2013-06-10 22:00:00;126'090;126'180;126'085;126'110
2013-07-10 22:00:00;126'105;126'160;126'030;126'080
2013-08-10 22:00:00;126'085;126'160;126'015;126'045
2013-09-10 22:00:00;126'050;126'060;125'215;126'010
2013-10-10 22:00:00;126'005;126'130;125'300;126'025
2013-13-10 22:00:00;126'110;126'115;125'215;125'245
2013-14-10 22:00:00;125'245;126'025;125'210;125'255
2013-15-10 22:00:00;125'250;126'100;125'165;126'095
2013-16-10 22:00:00;126'095;127'000;126'075;126'285
2013-17-10 22:00:00;126'285;127'115;126'260;126'300
2013-20-10 22:00:00;126'285;126'310;126'205;126'250
2013-21-10 22:00:00;126'245;127'165;126'230;127'155
