,Instrument,Ticker,Date,% change,open,high,low,close
83,Gold,GC,2013-03-19,-0.4094546808114643,1611.9,1613.9,1599.6,1605.3
84,Gold,GC,2013-03-20,0.510680700006219,1605.7,1616.5,1603.6,1613.9
85,Gold,GC,2013-03-21,-0.4027261462205729,1614.0,1615.3,1602.6,1607.5
86,Gold,GC,2013-03-24,-0.28592739930383004,1608.8,1612.8,1588.4,1604.2
87,Gold,GC,2013-03-25,-0.38641321283888885,1604.5,1605.0,1593.4,1598.3
88,Gold,GC,2013-03-26,0.3060587133041821,1601.0,1609.0,1591.9,1605.9
89,Gold,GC,2013-03-27,-0.5418535127055293,1605.6,1608.3,1594.3,1596.9
90,Gold,GC,2013-03-31,0.10011889118328554,1598.1,1601.6,1595.2,1599.7
91,Gold,GC,2013-04-01,-1.48740703706018,1600.1,1604.3,1574.0,1576.3
92,Gold,GC,2013-04-02,-1.1925907130170117,1576.4,1577.3,1549.7,1557.6
93,Gold,GC,2013-04-03,-0.2888874622841371,1557.7,1559.3,1539.4,1553.2
94,Gold,GC,2013-04-04,1.7889317889317908,1554.0,1581.8,1549.0,1581.8
95,Gold,GC,2013-04-07,-0.5377024291497889,1580.8,1582.9,1566.6,1572.3
96,Gold,GC,2013-04-08,0.7758839989824367,1572.4,1590.1,1570.0,1584.6
97,Gold,GC,2013-04-09,-1.6466876971608855,1585.0,1588.5,1555.3,1558.9
98,Gold,GC,2013-04-10,0.0962155227710042,1559.0,1568.1,1553.0,1560.5
99,Gold,GC,2013-04-11,-5.396398128565011,1560.3,1564.2,1476.0,1476.1
100,Gold,GC,2013-04-14,-8.690074274139093,1481.0,1495.0,1335.1,1352.3
101,Gold,GC,2013-04-15,1.06273062730628,1355.0,1404.2,1321.5,1369.4
102,Gold,GC,2013-04-16,0.43750911477322063,1371.4,1395.2,1365.0,1377.4
103,Gold,GC,2013-04-17,1.0682363200348846,1376.1,1402.0,1335.6,1390.8
104,Gold,GC,2013-04-18,1.005025125628137,1393.0,1424.7,1385.4,1407.0
105,Gold,GC,2013-04-21,1.2355322019456167,1408.3,1438.8,1403.5,1425.7
106,Gold,GC,2013-04-22,-0.8909779710958361,1425.4,1432.8,1404.0,1412.7
107,Gold,GC,2013-04-23,1.2814159292035328,1412.5,1433.6,1411.5,1430.6
108,Gold,GC,2013-04-24,2.6008529679088355,1430.3,1468.6,1426.3,1467.5
109,Gold,GC,2013-04-25,-0.3475771825802525,1467.3,1484.8,1447.3,1462.2
110,Gold,GC,2013-04-28,0.6615741372254718,1466.2,1478.3,1461.6,1475.9
111,Gold,GC,2013-04-29,-0.02708925910876303,1476.6,1479.5,1460.5,1476.2
112,Gold,GC,2013-04-30,-1.2401734887503295,1475.6,1477.4,1439.7,1457.3
113,Gold,GC,2013-05-01,0.6382978723404307,1457.0,1473.3,1448.1,1466.3
114,Gold,GC,2013-05-02,0.2932751329968539,1466.2,1487.2,1457.1,1470.5
115,Gold,GC,2013-05-05,-0.03401360544218335,1470.0,1478.4,1463.8,1469.5
116,Gold,GC,2013-05-06,-1.1775917228234931,1469.1,1470.0,1440.4,1451.8
117,Gold,GC,2013-05-07,1.4949021769082407,1451.6,1475.8,1446.7,1473.3
118,Gold,GC,2013-05-08,-1.059063136456217,1473.0,1476.0,1452.1,1457.4
119,Gold,GC,2013-05-09,-0.7066895368782156,1457.5,1461.2,1418.5,1447.2
120,Gold,GC,2013-05-12,-0.013986992097358097,1429.9,1437.9,1425.5,1429.7
121,Gold,GC,2013-05-13,-0.4127317243791566,1429.5,1444.9,1419.7,1423.6
122,Gold,GC,2013-05-14,-2.3517023517023574,1424.5,1429.4,1386.4,1391.0
123,Gold,GC,2013-05-15,-0.5745062836624726,1392.5,1397.0,1368.0,1384.5
124,Gold,GC,2013-05-16,-1.9419578400231075,1385.2,1391.3,1353.6,1358.3
125,Gold,GC,2013-05-19,2.313964592668782,1361.3,1397.9,1336.3,1392.8
126,Gold,GC,2013-05-20,-1.3214593507612875,1392.4,1399.9,1358.0,1374.0
127,Gold,GC,2013-05-21,-0.40742088032011736,1374.5,1413.3,1353.1,1368.9
128,Gold,GC,2013-05-22,1.5936837488120403,1367.9,1397.1,1355.0,1389.7
129,Gold,GC,2013-05-23,-0.31656953737679316,1389.9,1397.1,1381.1,1385.5
130,Gold,GC,2013-05-26,0.5049412104162201,1386.3,1395.6,1383.0,1393.3
131,Gold,GC,2013-05-27,-0.9548424151051762,1392.9,1401.0,1372.1,1379.6
132,Gold,GC,2013-05-28,0.884122037828817,1379.9,1394.9,1379.1,1392.1
133,Gold,GC,2013-05-29,1.4502117883552188,1392.9,1417.7,1388.4,1413.1
134,Gold,GC,2013-05-30,-1.7623327907141402,1412.9,1421.6,1384.2,1388.0
135,Gold,GC,2013-06-02,1.584101382488484,1388.8,1416.5,1388.3,1410.8
136,Gold,GC,2013-06-03,-0.8290816326530575,1411.2,1414.8,1388.1,1399.5
137,Gold,GC,2013-06-04,0.22161853016872612,1398.8,1410.3,1395.1,1401.9
138,Gold,GC,2013-06-05,0.7704380082750788,1401.8,1423.3,1391.2,1412.6
139,Gold,GC,2013-06-06,-2.0103348198485236,1412.7,1417.7,1377.1,1384.3
140,Gold,GC,2013-06-09,0.2530730296456909,1383.0,1388.5,1375.1,1386.5
141,Gold,GC,2013-06-10,-0.5844577530846493,1385.9,1387.2,1364.5,1377.8
142,Gold,GC,2013-06-11,0.725847426870871,1377.7,1394.0,1372.2,1387.7
143,Gold,GC,2013-06-12,-0.19460862044111593,1387.4,1394.4,1373.0,1384.7
144,Gold,GC,2013-06-13,0.4116117850953174,1384.8,1391.8,1377.8,1390.5
145,Gold,GC,2013-06-16,-0.4388173512696909,1390.1,1391.4,1379.8,1384.0
146,Gold,GC,2013-06-17,-1.2063858990103284,1384.3,1385.4,1360.2,1367.6
147,Gold,GC,2013-06-18,-1.2506399473414689,1367.3,1376.0,1348.3,1350.2
148,Gold,GC,2013-06-19,-5.498815867377132,1351.2,1351.2,1275.4,1276.9
149,Gold,GC,2013-06-20,1.5732623669380104,1277.6,1301.7,1268.7,1297.7
150,Gold,GC,2013-06-23,-1.1185682326621844,1296.3,1300.7,1275.1,1281.8
151,Gold,GC,2013-06-24,-0.41351330264491537,1281.7,1289.0,1270.7,1276.4
152,Gold,GC,2013-06-25,-4.166014095536411,1277.0,1277.5,1221.0,1223.8
153,Gold,GC,2013-06-26,-2.0807833537331675,1225.5,1244.2,1196.1,1200.0
154,Gold,GC,2013-06-27,2.942892872030015,1199.5,1234.8,1179.4,1234.8
155,Gold,GC,2013-06-30,1.5978587071132893,1232.9,1261.7,1224.1,1252.6
156,Gold,GC,2013-07-01,-0.8781032968787486,1252.7,1267.0,1238.8,1241.7
157,Gold,GC,2013-07-02,0.7810612770754233,1241.9,1259.3,1236.0,1251.6
158,Gold,GC,2013-07-03,-0.23948271733057425,1252.7,1257.1,1243.8,1249.7
159,Gold,GC,2013-07-04,-2.129703763010397,1249.0,1249.7,1206.9,1222.4
160,Gold,GC,2013-07-07,1.1956432724592645,1221.1,1237.4,1214.4,1235.7
161,Gold,GC,2013-07-08,1.1253238341968768,1235.2,1258.7,1232.0,1249.1
162,Gold,GC,2013-07-09,1.0007205187735195,1249.1,1265.6,1242.2,1261.6
163,Gold,GC,2013-07-10,1.4300387137552235,1265.7,1297.2,1262.1,1283.8
164,Gold,GC,2013-07-11,-0.1400887228578256,1284.9,1287.4,1266.4,1283.1
165,Gold,GC,2013-07-14,-0.1635641405093935,1283.9,1293.6,1272.5,1281.8
166,Gold,GC,2013-07-15,0.6866416978776755,1281.6,1294.7,1275.6,1290.4
167,Gold,GC,2013-07-16,-1.378562577447326,1291.2,1299.7,1269.3,1273.4
